symbol,timestamp,open,high,low,close,volume,trade_count,vwap,dollar_volume,prediction
PCG,2025-08-19 09:58:00-04:00,15.235,15.24,15.235,15.235,11272.0,38.0,15.236218,171728.91999999998,-1
PCG,2025-08-19 09:59:00-04:00,15.235,15.25,15.235,15.245,31063.0,174.0,15.241409,473555.435,-1
PCG,2025-08-19 10:00:00-04:00,15.25,15.265,15.245,15.265,91074.0,351.0,15.253789,1390244.61,-1
PCG,2025-08-19 10:01:00-04:00,15.27,15.285,15.26,15.275,83122.0,320.0,15.270601,1269688.55,-1
PCG,2025-08-19 10:02:00-04:00,15.275,15.3,15.275,15.3,18741.0,83.0,15.288138,286737.3,-1
PCG,2025-08-19 10:03:00-04:00,15.3,15.3,15.285,15.285,38564.0,120.0,15.290203,589450.74,-1
PCG,2025-08-19 10:04:00-04:00,15.29,15.3,15.285,15.285,56095.0,197.0,15.291227,857412.075,-1
PCG,2025-08-19 10:05:00-04:00,15.28,15.285,15.27,15.28,20454.0,78.0,15.278065,312537.12,-1
PCG,2025-08-19 10:06:00-04:00,15.275,15.29,15.27,15.275,567319.0,170.0,15.279979,8665797.725,-1
PCG,2025-08-19 10:07:00-04:00,15.2749,15.3,15.2749,15.285,283998.0,560.0,15.287182,4340909.43,-1
PCG,2025-08-19 10:08:00-04:00,15.285,15.32,15.285,15.3158,579780.0,272.0,15.291547,8879794.524,-1
PCG,2025-08-19 10:09:00-04:00,15.315,15.36,15.315,15.35,178445.0,416.0,15.343278,2739130.75,-1
PCG,2025-08-19 10:10:00-04:00,15.345,15.4,15.345,15.395,74765.0,286.0,15.372657,1151007.175,-1
PCG,2025-08-19 10:11:00-04:00,15.395,15.405,15.355,15.365,113842.0,400.0,15.379346,1749182.33,-1
PCG,2025-08-19 10:12:00-04:00,15.365,15.385,15.36,15.375,79835.0,267.0,15.370653,1227463.125,-1
PCG,2025-08-19 10:13:00-04:00,15.375,15.375,15.355,15.355,72504.0,209.0,15.366353,1113298.92,-1
PCG,2025-08-19 10:14:00-04:00,15.3554,15.36,15.34,15.355,222471.0,409.0,15.351152,3416042.205,-1
PCG,2025-08-19 10:15:00-04:00,15.355,15.375,15.355,15.375,83949.0,268.0,15.365149,1290715.875,-1
PCG,2025-08-19 10:16:00-04:00,15.375,15.39,15.36,15.385,66123.0,232.0,15.37361,1017302.355,-1
PCG,2025-08-19 10:17:00-04:00,15.385,15.4,15.375,15.375,96433.0,336.0,15.390385,1482657.375,-1
PCG,2025-08-19 10:18:00-04:00,15.375,15.38,15.365,15.365,90060.0,229.0,15.370012,1383771.9,-1
PCG,2025-08-19 10:19:00-04:00,15.37,15.415,15.36,15.41,633725.0,411.0,15.37222,9765702.25,-1
PCG,2025-08-19 10:20:00-04:00,15.415,15.42,15.4001,15.405,69447.0,208.0,15.410236,1069831.035,-1
PCG,2025-08-19 10:21:00-04:00,15.405,15.41,15.4,15.405,171037.0,347.0,15.404071,2634824.985,-1
PCG,2025-08-19 10:22:00-04:00,15.405,15.405,15.4,15.405,70394.0,124.0,15.402004,1084419.57,-1
PCG,2025-08-19 10:23:00-04:00,15.405,15.425,15.405,15.425,66247.0,206.0,15.41703,1021859.975,-1
PCG,2025-08-19 10:24:00-04:00,15.425,15.44,15.425,15.435,38035.0,162.0,15.429592,587070.225,-1
PCG,2025-08-19 10:25:00-04:00,15.435,15.45,15.425,15.445,131416.0,375.0,15.430779,2029720.12,-1
PCG,2025-08-19 10:26:00-04:00,15.445,15.4589,15.44,15.445,170812.0,371.0,15.445309,2638191.34,-1
PCG,2025-08-19 10:27:00-04:00,15.45,15.46,15.445,15.445,29104.0,155.0,15.451154,449511.28,-1
PCG,2025-08-19 10:28:00-04:00,15.44,15.445,15.42,15.435,77164.0,313.0,15.435182,1191026.34,-1
PCG,2025-08-19 10:29:00-04:00,15.435,15.435,15.415,15.435,633773.0,304.0,15.428919,9782286.255,-1
PCG,2025-08-19 10:30:00-04:00,15.435,15.4475,15.43,15.44,64690.0,236.0,15.438155,998813.6,-1
PCG,2025-08-19 10:31:00-04:00,15.44,15.45,15.435,15.445,47349.0,186.0,15.441754,731305.305,-1
PCG,2025-08-19 10:32:00-04:00,15.445,15.45,15.43,15.43,45248.0,194.0,15.440188,698176.64,-1
PCG,2025-08-19 10:33:00-04:00,15.43,15.435,15.425,15.4299,28199.0,190.0,15.430601,435107.7501,-1
PCG,2025-08-19 10:34:00-04:00,15.43,15.435,15.42,15.425,115192.0,397.0,15.428577,1776836.6,-1
PCG,2025-08-19 10:35:00-04:00,15.425,15.44,15.425,15.435,48231.0,173.0,15.431195,744445.485,-1
PCG,2025-08-19 10:36:00-04:00,15.435,15.4575,15.4339,15.45,94527.0,295.0,15.446589,1460442.15,-1
PCG,2025-08-19 10:37:00-04:00,15.45,15.46,15.435,15.435,88853.0,280.0,15.447386,1371446.055,-1
PCG,2025-08-19 10:38:00-04:00,15.435,15.44,15.43,15.44,21114.0,104.0,15.438625,326000.16,-1
PCG,2025-08-19 10:39:00-04:00,15.44,15.44,15.425,15.425,50124.0,193.0,15.431207,773162.7000000001,-1
PCG,2025-08-19 10:40:00-04:00,15.4253,15.43,15.41,15.415,17952.0,100.0,15.422916,276730.08,-1
PCG,2025-08-19 10:41:00-04:00,15.415,15.425,15.4101,15.425,36016.0,148.0,15.419523,555546.8,-1
PCG,2025-08-19 10:42:00-04:00,15.425,15.425,15.41,15.415,29896.0,157.0,15.416279,460846.84,-1
PCG,2025-08-19 10:43:00-04:00,15.415,15.415,15.41,15.4115,22343.0,77.0,15.412228,344339.1445,-1
PCG,2025-08-19 10:44:00-04:00,15.415,15.43,15.41,15.43,85072.0,276.0,15.420347,1312660.96,-1
PCG,2025-08-19 10:45:00-04:00,15.43,15.435,15.422,15.435,114920.0,261.0,15.429526,1773790.2,-1
PCG,2025-08-19 10:46:00-04:00,15.435,15.435,15.41,15.43,141579.0,441.0,15.423664,2184563.97,-1
PCG,2025-08-19 10:47:00-04:00,15.44,15.45,15.44,15.4446,13761.0,68.0,15.440442,212533.1406,-1
PCG,2025-08-19 10:48:00-04:00,15.445,15.46,15.4447,15.46,241299.0,441.0,15.453399,3730482.54,-1
PCG,2025-08-19 10:49:00-04:00,15.465,15.465,15.45,15.455,37306.0,138.0,15.456718,576564.23,-1
PCG,2025-08-19 10:50:00-04:00,15.45,15.46,15.445,15.455,246676.0,272.0,15.45025,3812377.58,-1
PCG,2025-08-19 10:51:00-04:00,15.455,15.455,15.44,15.445,673934.0,216.0,15.44993,10408910.63,-1
PCG,2025-08-19 10:52:00-04:00,15.445,15.465,15.445,15.4599,73655.0,252.0,15.45666,1138698.9345,-1
PCG,2025-08-19 10:53:00-04:00,15.46,15.46,15.435,15.435,41069.0,213.0,15.452033,633900.015,-1
PCG,2025-08-19 10:54:00-04:00,15.435,15.44,15.43,15.435,11890.0,98.0,15.43207,183522.15,-1
PCG,2025-08-19 10:55:00-04:00,15.435,15.435,15.425,15.425,7208.0,63.0,15.429343,111183.4,-1
PCG,2025-08-19 10:56:00-04:00,15.425,15.425,15.4146,15.425,64786.0,212.0,15.420631,999324.05,-1
PCG,2025-08-19 10:57:00-04:00,15.43,15.43,15.415,15.425,76794.0,176.0,15.421245,1184547.45,-1
PCG,2025-08-19 10:58:00-04:00,15.425,15.43,15.42,15.43,13033.0,61.0,15.425314,201099.19,-1
PCG,2025-08-19 10:59:00-04:00,15.43,15.43,15.42,15.425,32395.0,115.0,15.425163,499692.875,-1
PCG,2025-08-19 11:00:00-04:00,15.425,15.425,15.38,15.405,94502.0,380.0,15.401389,1455803.31,-1
PCG,2025-08-19 11:01:00-04:00,15.4,15.41,15.39,15.405,32193.0,144.0,15.400474,495933.165,-1
PCG,2025-08-19 11:02:00-04:00,15.405,15.42,15.405,15.4189,28344.0,113.0,15.410763,437033.3016,-1
PCG,2025-08-19 11:03:00-04:00,15.415,15.42,15.4101,15.415,13900.0,60.0,15.417059,214268.5,-1
PCG,2025-08-19 11:04:00-04:00,15.415,15.42,15.4146,15.42,18262.0,71.0,15.417244,281600.04,-1
PCG,2025-08-19 11:05:00-04:00,15.42,15.43,15.415,15.43,71277.0,247.0,15.420212,1099804.11,-1
PCG,2025-08-19 11:06:00-04:00,15.4253,15.43,15.42,15.42,4491.0,48.0,15.423336,69251.22,-1
PCG,2025-08-19 11:07:00-04:00,15.425,15.44,15.425,15.4346,75065.0,211.0,15.430658,1158598.249,-1
PCG,2025-08-19 11:08:00-04:00,15.44,15.44,15.4201,15.425,34024.0,101.0,15.427436,524820.2000000001,-1
PCG,2025-08-19 11:09:00-04:00,15.425,15.43,15.415,15.415,27823.0,153.0,15.423855,428891.545,-1
PCG,2025-08-19 11:10:00-04:00,15.415,15.4157,15.41,15.415,13439.0,65.0,15.413444,207162.185,-1
PCG,2025-08-19 11:11:00-04:00,15.415,15.415,15.415,15.415,9864.0,52.0,15.415,152053.56,-1
PCG,2025-08-19 11:12:00-04:00,15.4123,15.43,15.4123,15.425,45802.0,158.0,15.421259,706495.85,-1
PCG,2025-08-19 11:13:00-04:00,15.425,15.43,15.42,15.425,8754.0,58.0,15.425666,135030.45,-1
PCG,2025-08-19 11:14:00-04:00,15.425,15.425,15.405,15.405,50092.0,222.0,15.415577,771667.26,-1
PCG,2025-08-19 11:15:00-04:00,15.405,15.4087,15.395,15.395,533858.0,144.0,15.400124,8218743.91,-1
PCG,2025-08-19 11:16:00-04:00,15.395,15.4,15.39,15.395,31162.0,102.0,15.394194,479738.99,-1
PCG,2025-08-19 11:17:00-04:00,15.39,15.4,15.39,15.395,2775.0,39.0,15.395286,42721.125,-1
PCG,2025-08-19 11:18:00-04:00,15.395,15.42,15.39,15.415,36631.0,143.0,15.406075,564666.865,-1
PCG,2025-08-19 11:19:00-04:00,15.415,15.42,15.39,15.395,31032.0,169.0,15.407349,477737.64,-1
PCG,2025-08-19 11:20:00-04:00,15.395,15.3999,15.39,15.395,6063.0,57.0,15.394697,93339.885,-1
PCG,2025-08-19 11:21:00-04:00,15.39,15.4,15.385,15.395,84363.0,213.0,15.390828,1298768.385,-1
PCG,2025-08-19 11:22:00-04:00,15.395,15.395,15.3801,15.385,30173.0,117.0,15.387909,464211.605,-1
PCG,2025-08-19 11:23:00-04:00,15.385,15.415,15.385,15.405,78721.0,252.0,15.399017,1212697.005,-1
PCG,2025-08-19 11:24:00-04:00,15.405,15.41,15.405,15.405,15115.0,50.0,15.405318,232846.575,-1
PCG,2025-08-19 11:25:00-04:00,15.405,15.41,15.39,15.395,77076.0,233.0,15.399904,1186585.02,-1
PCG,2025-08-19 11:26:00-04:00,15.4,15.4,15.39,15.395,43027.0,200.0,15.391398,662400.665,-1
PCG,2025-08-19 11:27:00-04:00,15.39,15.4,15.39,15.395,23029.0,83.0,15.394913,354531.455,-1
PCG,2025-08-19 11:28:00-04:00,15.395,15.405,15.395,15.405,161480.0,311.0,15.397634,2487599.4,1
PCG,2025-08-19 11:29:00-04:00,15.4075,15.41,15.405,15.405,395557.0,175.0,15.405096,6093555.585,1
PCG,2025-08-19 11:30:00-04:00,15.405,15.41,15.4,15.4075,30260.0,121.0,15.404016,466230.95,2
PCG,2025-08-19 11:31:00-04:00,15.405,15.41,15.4,15.405,94968.0,232.0,15.404901,1462982.04,2
PCG,2025-08-19 11:32:00-04:00,15.405,15.41,15.4,15.405,23125.0,112.0,15.405054,356240.625,2
PCG,2025-08-19 11:33:00-04:00,15.405,15.4075,15.375,15.395,338915.0,823.0,15.396443,5217596.425,2
PCG,2025-08-19 11:34:00-04:00,15.39,15.3975,15.3849,15.39,19995.0,77.0,15.391071,307723.05,2
PCG,2025-08-19 11:35:00-04:00,15.385,15.385,15.37,15.3797,13154.0,100.0,15.380205,202304.5738,2
PCG,2025-08-19 11:36:00-04:00,15.375,15.375,15.365,15.37,37453.0,164.0,15.370481,575652.61,2
PCG,2025-08-19 11:37:00-04:00,15.365,15.38,15.365,15.375,29348.0,118.0,15.3715,451225.5,2
PCG,2025-08-19 11:38:00-04:00,15.375,15.39,15.375,15.385,37597.0,113.0,15.377689,578429.845,2
PCG,2025-08-19 11:39:00-04:00,15.385,15.39,15.38,15.385,8093.0,56.0,15.385143,124510.805,2
PCG,2025-08-19 11:40:00-04:00,15.385,15.385,15.375,15.385,62002.0,190.0,15.379282,953900.77,2
PCG,2025-08-19 11:41:00-04:00,15.39,15.39,15.3846,15.39,18367.0,106.0,15.387484,282668.13,2
