symbol,timestamp,open,high,low,close,volume,trade_count,vwap,dollar_volume
TEM,2024-06-14 11:40:00-04:00,40.0,41.95,40.0,40.655,874267.0,349.0,40.045827,35543324.885
TEM,2024-06-14 11:50:00-04:00,40.665,43.1,40.0,42.0067,728090.0,5675.0,41.653441,30584658.203
TEM,2024-06-14 12:00:00-04:00,42.055,43.64,41.59,42.0,266161.0,2811.0,42.583998,11178762.0
TEM,2024-06-14 12:10:00-04:00,42.05,42.88,41.91,42.75,124948.0,1753.0,42.297383,5341527.0
TEM,2024-06-14 12:20:00-04:00,42.73,43.88,42.17,42.52,263705.0,2636.0,43.026101,11212736.600000001
TEM,2024-06-14 12:30:00-04:00,42.52,42.7,41.5,41.69,183736.0,1990.0,41.820217,7659953.84
TEM,2024-06-14 12:40:00-04:00,41.98,41.98,41.5,41.61,90252.0,1273.0,41.638909,3755385.7199999997
TEM,2024-06-14 12:50:00-04:00,41.6,42.47,41.55,42.3,92357.0,1183.0,42.015367,3906701.0999999996
TEM,2024-06-14 13:00:00-04:00,42.29,42.5,42.0,42.1,153235.0,1270.0,42.211901,6451193.5
TEM,2024-06-14 13:10:00-04:00,42.03,42.2,40.52,40.685,183901.0,1488.0,41.624576,7482012.1850000005
TEM,2024-06-14 13:20:00-04:00,40.69,41.2,40.0,40.18,249439.0,2188.0,40.282947,10022459.02
TEM,2024-06-14 13:30:00-04:00,40.11,40.13,37.0,37.51,576112.0,3835.0,38.677752,21609961.119999997
TEM,2024-06-14 13:40:00-04:00,37.51,39.1298,37.0,38.7831,223275.0,1982.0,38.254822,8659296.6525
TEM,2024-06-14 13:50:00-04:00,38.895,39.35,38.09,38.366,131408.0,1399.0,38.720765,5041599.328
TEM,2024-06-14 14:00:00-04:00,38.3,38.5,37.8,37.98,123062.0,1260.0,38.127336,4673894.76
TEM,2024-06-14 14:10:00-04:00,38.15,38.46,37.56,37.64,171898.0,1438.0,37.995277,6470240.72
TEM,2024-06-14 14:20:00-04:00,37.61,38.9,37.5,38.8,268497.0,2180.0,38.019148,10417683.6
TEM,2024-06-14 14:30:00-04:00,38.8,39.75,38.26,38.475,153758.0,1456.0,39.202007,5915839.05
